=== node 192.168.2.61 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
lxcffc5087ea873: 1676598022 5389941    0    0    0     0          0         0 3675133193 6565725    0    0    0     0       0          0
lxc891ac827e5c5: 767937874 2615694    0    0    0     0          0         0 350112523 2573747    0    0    0     0       0          0
lxca7cc21e3b0d3: 4538320644 19909313    0    0    0     0          0         0 2662093528 20053656    0    0    0     0       0          0
lxc0597e55b5d2d: 6569599629 41329821    0    0    0     0          0         0 9571013748 40895743    0    0    0     0       0          0
lxc7a4dddf6d8f8: 1377504278 10656039    0    0    0     0          0         0 12286708865 9083682    0    0    0     0       0          0
lxc5425dba62274: 17694879413 27446024    0    0    0     0          0         0 32261052867 29839942    0    0    0     0       0          0
lxc3d770ed54e37: 213159538 2114260    0    0    0     0          0         0 204854081 2288890    0    0    0     0       0          0
lxc633dc61afdcb: 40607536989 223517993    0    0    0     0          0         0 39856117238 230187529    0    0    0     0       0          0
lxc6d80d32a754a: 286902809 3470410    0    0    0     0          0         0 412184664 4593043    0    0    0     0       0          0
lxc79607f93bfec: 17486643933 61836484    0    0    0     0          0         0 12397791313 66703180    0    0    0     0       0          0
lxc82e4fc2dd57a: 4241954483 14383106    0    0    0     0          0         0 7161974059 16090592    0    0    0     0       0          0
lxc7244d479e0c1: 1176715518 8771148    0    0    0     0          0         0 568265312 8575209    0    0    0     0       0          0
 br-vm:       0       0    0    0    0     0          0         0     1834      15    0    0    0     0       0          0
enp0s31f6.100:       0       0    0    0    0     0          0         0     1680      12    0   16    0     0       0          0
lxcc3a2fbbe7e85: 3891543796 5438144    0    0    0     0          0         0 2312130208 5252612    0    0    0     0       0          0
lxc10af2e936e62: 398217815 2819766    0    0    0     0          0         0 4691864486 2633296    0    0    0     0       0          0
cilium_wg0: 750300709404 1009907702    0    0    0     0          0         0 1040117667576 1195512140   56   36    0     0       0          0
lxc34f20cd087ce: 1235671235 8922982    0    0    0     0          0         0 6399999114 8778829    0    0    0     0       0          0
lxc63db93ba0fbb: 281555215 3584883    0    0    0     0          0         0 445844330 3876840    0    0    0     0       0          0
lxc787b536dd16c: 366147340 2011196    0    0    0     0          0         0 475088406 1864864    0    0    0     0       0          0
lxc5cb2b6936f65: 358230921 1864407    0    0    0     0          0         0 561921855 1894380    0    0    0     0       0          0
lxcb7da275196ca: 908880431 1620100    0    0    0     0          0         0 558482048 1842675    0    0    0     0       0          0
lxc36823d90374c: 525296143 2782350    0    0    0     0          0         0 3354523376 2940993    0    0    0     0       0          0
lxc747ea6bc2633: 2500717935 1935479    0    0    0     0          0         0 6696705492 2928367    0    0    0     0       0          0
lxc2c3e40d95e0c: 11487601536 96668123    0    0    0     0          0         0 239637988890 86724384    0    0    0     0       0          0
lxc15f36133338d: 301157006  227271    0    0    0     0          0         0 37514056  266002    0    0    0     0       0          0
lxcd694c7daa1b2: 2815436   41474    0    0    0     0          0         0  2069794   22833    0    0    0     0       0          0
enp0s31f6.110: 7878756427 45755154    0    0    0     0          0         2 238208486318 13913982    0    7    0     0       0          0
lxcdd34f07847c1: 4742622559 30756347    0    0    0     0          0         0 3778118223 33177026    0    0    0     0       0          0
lxc0d1765736e3a:    7334     107    0    0    0     0          0         0     1082      15    0    0    0     0       0          0
lxc_health:  152864    2044    0    0    0     0          0         0   183484    2408    0    0    0     0       0          0
lxc7bacad486240: 62554149   71602    0    0    0     0          0         0 54306220   86952    0    0    0     0       0          0
lxc8c3d195e5346: 3504227   40528    0    0    0     0          0         0 102435373   39403    0    0    0     0       0          0
=== node 192.168.2.67 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 75166732  398311    0    0    0     0          0         0 75166732  398311    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp4s0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s20f0u2: 208114678  850117    0 65338    0     0          0         0 704759303 1068580    0    2    0     0       0          0
cilium_wg0: 48751480  228290    0    0    0     0          0         0 124037480  294888    0    0    0     0       0          0
cilium_net: 2441582    3510    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0  2441582    3510    0    0    0     0       0          0
cilium_vxlan: 28148997  220788    0    0    0     0          0         0 95692266  249769    0    0    0     0       0          0
lxc30cde45fed29: 65190869   83270    0    0    0     0          0         0  9095389   95558    0    0    0     0       0          0
lxc7887d62cecf6:    1706      23    0    0    0     0          0         0      746       7    0    0    0     0       0          0
lxc49c4e0d77ade:  315268    3823    0    0    0     0          0         0   572803    3311    0    0    0     0       0          0
lxcceec5ec7aef3: 17551151   37230    0    0    0     0          0         0  8515475   39258    0    0    0     0       0          0
lxc51f5a64b0f1e: 6578801   73136    0    0    0     0          0         0 39157819   86587    0    0    0     0       0          0
lxcc92e422ac4c6: 76558206  181716    0    0    0     0          0         0 23825256  152966    0    0    0     0       0          0
lxc4bd55837706f: 1846534   16344    0    0    0     0          0         0  1474506   16451    0    0    0     0       0          0
lxc_health:  150975    2015    0    0    0     0          0         0   181391    2373    0    0    0     0       0          0
